example_id                                      | status | run_time        |
----------------------------------------------- | ------ | --------------- |
./spec/models/article_spec.rb[1:1:1]            | passed | 0.00116 seconds |
./spec/models/article_spec.rb[1:1:2]            | passed | 0.00141 seconds |
./spec/models/article_spec.rb[1:1:3]            | passed | 0.00121 seconds |
./spec/models/article_spec.rb[1:2:1]            | passed | 0.00331 seconds |
./spec/requests/api/articles/index_spec.rb[1:1] | passed | 0.01742 seconds |
./spec/requests/api/articles/index_spec.rb[1:2] | passed | 0.01589 seconds |
./spec/requests/api/articles/show_spec.rb[1:1]  | passed | 0.01091 seconds |
./spec/requests/api/articles/show_spec.rb[1:2]  | passed | 0.01092 seconds |
./spec/requests/api/articles/show_spec.rb[1:3]  | passed | 0.01102 seconds |
./spec/requests/api/articles/show_spec.rb[1:4]  | passed | 0.04453 seconds |
./spec/requests/api/articles/show_spec.rb[1:5]  | passed | 0.0111 seconds  |
